"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4371","InvalidLogin_CorrectUsername_InvalidPassword","ecommerce","2026-03-19","passed","2026-03-19","","Login","",""
"","9628","OrderByProducts","ecommerce","2026-03-19","passed","2026-03-19","","Products","",""
"","8779","CheckoutOverview","ecommerce","2026-03-19","passed","2026-03-19","","Checkout","",""
"","6239","ValidLogin","ecommerce","2026-03-19","passed","2026-03-19","","Login","",""
"","7995","AddProductsToCart","ecommerce","2026-03-19","passed","2026-03-19","","Cart","",""
"","14802","CompleteCheckout","ecommerce","2026-03-19","passed","2026-03-19","","Checkout","",""
"","3005","InvalidLogin_IncorrectUsername_ValidPassword","ecommerce","2026-03-19","passed","2026-03-19","","Login","",""
"","5812","ValidateProductsPage","ecommerce","2026-03-19","passed","2026-03-19","","Products","",""
"","8050","UpdateProductFromCart","ecommerce","2026-03-19","passed","2026-03-19","","Cart","",""
"","9273","RemoveProductFromCart","ecommerce","2026-03-19","passed","2026-03-19","","Cart","",""
"","9067","Logout","ecommerce","2026-03-19","passed","2026-03-19","","Logout","",""
